Keyword Stats 2026-05-21 at 00_10_27;;;;;;;;;;;;;;;;;;;;;;;;;
1 de maio de 2025 - 30 de abril de 2026;;;;;;;;;;;;;;;;;;;;;;;;;
Keyword;Currency;Segmentation;Avg. monthly searches;Three month change;YoY change;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic average position;Organic impression share;In Account;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025;Searches: Jan 2026;Searches: Feb 2026;Searches: Mar 2026;Searches: Apr 2026
;;Todos;511350.0;;;;;;;;;;;;;;;;;;;;;;
;;Brasil;511350.0;;;;;;;;;;;;;;;;;;;;;;
boroscopio;BRL;;5000.0;0%;0%;Alto;100;0,72;8,72;;;;;;;;;;;;;;;;
boroscopio articulado;BRL;;500.0;0%;0%;Alto;100;0,68;6,19;;;;;;;;;;;;;;;;
boroscopio industrial;BRL;;50.0;0%;0%;Alto;100;3,31;8,84;;;;;;;;;;;;;;;;
boroscopio profissional;BRL;;50.0;0%;-90%;Alto;100;1,48;6,79;;;;;;;;;;;;;;;;
boroscopio tubulações;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio;BRL;;5000.0;0%;0%;Alto;100;0,69;6,88;;;;;;;;;;;;;;;;
boroscópio articulado profissional;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio câmera dupla;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio haste extensível;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio haste longa;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio ip67 profissional;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio mecânico automotivo;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio para poço artesiano;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio para tubulação;BRL;;50.0;0%;∞;Alto;100;2,62;13,85;;;;;;;;;;;;;;;;
boroscópio robótico;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio robô;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio semirrígido;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio sonda articulada 360;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio sonda articulável barato;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio subaquático;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio telescópico;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio telescópico automotivo;BRL;;;;;;;;;;;;;;;;;;;;;;;;
boroscópio termográfico;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera de inspeção de tubulação;BRL;;50.0;0%;0%;Alto;100;2,94;7,05;;;;;;;;;;;;;;;;
câmera de inspeção profissional;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera dupla frontal lateral inspeção;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera esgoto industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera extensível inspeção industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera inspeção automotiva profissional;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera inspeção locais elevados;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera inspeção motor;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera inspeção profissional hd;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera inspeção saneamento;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera inspeção tubulação hd;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera para inspeção de poços;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera para lugares altos;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera para poço artesiano;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera para tubulação;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera robótica industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera robótica para tubulação;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera robô 360 graus industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera rotativa 360 tubulação;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera sonda flexível;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera subaquática industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera telescópica 360 graus;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera telescópica industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera telescópica inspeção;BRL;;;;;;;;;;;;;;;;;;;;;;;;
câmera telescópica profissional industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
endoscopio boroscopio;BRL;;50.0;0%;0%;Alto;100;0,93;6,28;;;;;;;;;;;;;;;;
equipamento inspeção altura;BRL;;;;;;;;;;;;;;;;;;;;;;;;
equipamento inspeção não destrutiva;BRL;;;;;;;;;;;;;;;;;;;;;;;;
equipamento inspeção poço artesiano;BRL;;;;;;;;;;;;;;;;;;;;;;;;
equipamento robótico inspeção dutos;BRL;;;;;;;;;;;;;;;;;;;;;;;;
haste câmera inspeção dutos verticais;BRL;;;;;;;;;;;;;;;;;;;;;;;;
imagem;BRL;;500000.0;0%;0%;Baixo;0;4,9;8,45;;;;;;;;;;;;;;;;
inspeção de dutos;BRL;;50.0;0%;0%;Baixo;12;1,21;19,31;;;;;;;;;;;;;;;;
inspeção de esgoto câmera;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção de tubulação sem escavação;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção dutos sem obra;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção remota com robô;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção remota sem intervenção humana;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção sem desmontagem;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção sem plataforma elevatória;BRL;;;;;;;;;;;;;;;;;;;;;;;;
inspeção visual remota;BRL;;50.0;∞;0%;Baixo;0;;;;;;;;;;;;;;;;;;
robô câmera articulada;BRL;;;;;;;;;;;;;;;;;;;;;;;;
robô câmera inspeção industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
robô de inspeção industrial;BRL;;;;;;;;;;;;;;;;;;;;;;;;
robô inspeção 360 graus;BRL;;;;;;;;;;;;;;;;;;;;;;;;
robô inspeção câmera;BRL;;;;;;;;;;;;;;;;;;;;;;;;
robô para espaços confinados;BRL;;;;;;;;;;;;;;;;;;;;;;;;
videoscopio;BRL;;500.0;0%;0%;Alto;100;0,85;9;;;;;;;;;;;;;;;;
videoscópio profissional;BRL;;;;;;;;;;;;;;;;;;;;;;;;
videoscópio profissional hd;BRL;;;;;;;;;;;;;;;;;;;;;;;;
videoscópio robô articulado;BRL;;;;;;;;;;;;;;;;;;;;;;;;
videoscópio tubulação 200 metros;BRL;;;;;;;;;;;;;;;;;;;;;;;;
